email,first_name,last_name,title,org_name,phone,find_email_at,notes
,,,Business Office Manager,Windsor Gardens Care Center of Hayward,510-537-8848,https://www.windsorcares.com/location/windsor-gardens-healthcare-center-of-hayward/,Windsor CA network. Facility pages publish an administrator address.
,,,Business Office Manager,Windsor Country Drive Care Center,510-792-4242,https://www.windsorcares.com/location/windsor-country-drive-care-center/,Fremont. Windsor network.
,,,Business Office Manager,Windsor Park Care Center of Fremont,510-793-7222,https://www.windsorcares.com/location/windsor-park-care-center-of-fremont/,Fremont. Windsor network.
,,,Business Office Manager,Windsor Healthcare Center of Oakland,510-261-8564,https://www.windsorcares.com/windsor-healthcare-center-of-oakland/,94 beds. Verified phone 2026-08-15.
,,,Regional Director of Reimbursement,Windsor Cares corporate,310-854-8424,https://www.windsorcares.com/contact-us/,Call only after a facility conversation. 35 facilities.
,,,Administrator,Generations Healthcare Bay Area facility,714-241-5600,https://lifegen.net/locations/,"Site is lifegen.net. Pick Bay Area buildings from the locations page; each has its own number."
,,,Denials Manager,Sonoma Valley Hospital,707-935-5000,https://www.sonomavalleyhospital.org/contact/,Small district hospital. Shortest decision chain on this list.
,,,Denials Manager,St. Rose Hospital Hayward,510-264-4000,https://strosehospital.org/contact-the-hospital/,Independent and financially pressured.
,,,Director of Revenue Cycle,Washington Health Fremont,510-797-1111,https://www.washingtonhealth.com/,Independent district hospital. 415 beds.
,,,Director of Revenue Cycle,MarinHealth Medical Center,415-925-7000,https://www.mymarinhealth.org/,Independent district hospital.
,,,Director of Revenue Cycle,El Camino Health Mountain View,650-940-7000,https://www.elcaminohealth.org/,Independent district system.
,,,Director of Revenue Cycle,John Muir Health Walnut Creek,925-939-3000,https://www.johnmuirhealth.com/,Largest and slowest here. Contact last.
info@aspirion.com,,,Partnerships,Aspirion,866-621-3601,https://www.aspirion.com/contact/,Channel partner. Denials and complex claims RCM. One deal covers many facilities.
marketing@enablecomp.com,,,Partnerships,EnableComp,615-791-4300,https://www.enablecomp.com/contact/,Channel partner. Complex claims specialist.
Services@KnowtionHealth.com,,,Partnerships,Knowtion Health,561-995-1252,https://knowtionhealth.com/contact/,Channel partner. Denials and underpayments.
